#,Player,Country,Team,Goals (Penalty)
,Mikel Arteta,Spain,Arsenal FC Arsenal FC,6 (5)
,Kevin Mirallas,Belgium,Everton FC Everton FC,6 (0)
,Steven Pienaar,South Africa,Everton FC Everton FC,6 (0)
,Loïc Rémy,France,Queens Park Rangers Queens Park Rangers,6 (1)
,Jay Rodriguez,England,Southampton FC Southampton FC,6 (0)
,Robert Snodgrass,Scotland,Norwich City Norwich City,6 (0)
,Yaya Touré,Ivory Coast,Manchester City Manchester City,6 (0)
55,Emmanuel Adebayor,Togo,Tottenham Hotspur Tottenham Hotspur,5 (0)
,Leighton Baines,England,Everton FC Everton FC,5 (2)
,Jonathan de Guzmán,Netherlands,Swansea City Swansea City,5 (0)
,Franco Di Santo,Argentina,Wigan Athletic Wigan Athletic,5 (0)
,Gervinho,Ivory Coast,Arsenal FC Arsenal FC,5 (0)
,Jordan Henderson,England,Liverpool FC Liverpool FC,5 (0)
,Branislav Ivanović,Serbia,Chelsea FC Chelsea FC,5 (0)
,Adam Johnson,England,Sunderland AFC Sunderland AFC,5 (0)
,Jimmy Kébé,France,Reading FC Reading FC,5 (0)
,James Morrison,Scotland,West Bromwich Albion West Bromwich Albion,5 (1)
,Peter Odemwingie,Nigeria,West Bromwich Albion West Bromwich Albion,5 (1)
,Leon Osman,England,Everton FC Everton FC,5 (0)
,Mladen Petrić,Croatia,Fulham FC Fulham FC,5 (1)
,Anthony Pilkington,Ireland,Norwich City Norwich City,5 (0)
,Pavel Pogrebnyak,Russia,Reading FC Reading FC,5 (0)
,Jason Puncheon,England,Southampton FC Southampton FC,5 (0)
,Ramires,Brazil,Chelsea FC Chelsea FC,5 (0)
,Gastón Ramírez,Uruguay,Southampton FC Southampton FC,5 (0)
,Wayne Routledge,England,Swansea City Swansea City,5 (0)
,Morgan Schneiderlin,France,Southampton FC Southampton FC,5 (0)
,Adel Taarabt,Morocco,Queens Park Rangers Queens Park Rangers,5 (0)
,Jan Vertonghen,Belgium,Tottenham Hotspur Tottenham Hotspur,5 (0)
77,Hatem Ben Arfa,France,Newcastle United Newcastle United,4 (2)
,Emmerson Boyce,Barbados,Wigan Athletic Wigan Athletic,4 (0)
,David Silva,Spain,Manchester City Manchester City,4 (0)
,Patrice Evra,France,Manchester United Manchester United,4 (0)
,Zoltán Gera,Hungary,West Bromwich Albion West Bromwich Albion,4 (0)
,Alexander Kačaniklić,Sweden,Fulham FC Fulham FC,4 (0)
,Aaron Lennon,England,Tottenham Hotspur Tottenham Hotspur,4 (0)
,James Milner,England,Manchester City Manchester City,4 (0)
,Steven Naismith,Scotland,Everton FC Everton FC,4 (0)
,Mark Noble,England,West Ham United West Ham United,4 (3)
,Oscar,Brazil,Chelsea FC Chelsea FC,4 (1)
,Bryan Ruiz,Costa Rica,Fulham FC Fulham FC,4 (0)
,Steven Sidwell,England,Fulham FC Fulham FC,4 (1)
,John Terry,England,Chelsea FC Chelsea FC,4 (0)
,Bobby Zamora,England,Queens Park Rangers Queens Park Rangers,4 (0)
92,Charlie Adam,Scotland,Liverpool FC Liverpool FC,3 (0)
,,,Stoke City Stoke City,
,Daniel Agger,Denmark,Liverpool FC Liverpool FC,3 (0)
,Àngel Rangel,Spain,Swansea City Swansea City,3 (0)
,Sébastien Bassong,Cameroon,Norwich City Norwich City,3 (0)
,Darren Bent,England,Aston Villa Aston Villa,3 (0)
,Djibril Cissé,France,Queens Park Rangers Queens Park Rangers,3 (0)
,Joe Cole,England,Liverpool FC Liverpool FC,3 (0)
,,,West Ham United West Ham United,
,Coutinho,Brazil,Liverpool FC Liverpool FC,3 (0)
,Momo Diamé,Senegal,West Ham United West Ham United,3 (0)
,Stewart Downing,England,Liverpool FC Liverpool FC,3 (0)
,Nathan Dyer,England,Swansea City Swansea City,3 (0)
,Jonny Evans,Northern Ireland,Manchester United Manchester United,3 (0)
,Yoan Gouffran,France,Newcastle United Newcastle United,3 (0)
,Danny Graham,England,Sunderland AFC Sunderland AFC,3 (0)
,,,Swansea City Swansea City,
,Wes Hoolahan,Ireland,Norwich City Norwich City,3 (0)
,Cameron Jerome,England,Stoke City Stoke City,3 (0)
,Kenwyne Jones,Trinidad & Tobago,Stoke City Stoke City,3 (0)
,Jordi Gómez,Spain,Wigan Athletic Wigan Athletic,3 (0)
,Michael Kightly,England,Stoke City Stoke City,3 (0)
,Adam Lallana,England,Southampton FC Southampton FC,3 (0)
,Russell Martin,Scotland,Norwich City Norwich City,3 (0)
,James McArthur,Scotland,Wigan Athletic Wigan Athletic,3 (0)
,Gareth McAuley,Northern Ireland,West Bromwich Albion West Bromwich Albion,3 (0)
,James McCarthy,Ireland,Wigan Athletic Wigan Athletic,3 (0)
,Garath McCleary,Jamaica,Reading FC Reading FC,3 (0)
,Per Mertesacker,Germany,Arsenal FC Arsenal FC,3 (0)
,Luke Moore,England,Swansea City Swansea City,3 (0)
,Pablo Hernández,Spain,Swansea City Swansea City,3 (0)
,Rafael,Brazil,Manchester United Manchester United,3 (0)
,Ricardo Vaz Tê,Portugal,West Ham United West Ham United,3 (0)
,Hugo Rodallega,Colombia,Fulham FC Fulham FC,3 (0)
,Gylfi Sigurðsson,Iceland,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Moussa Sissoko,France,Newcastle United Newcastle United,3 (0)
,Michael Turner,England,Norwich City Norwich City,3 (0)
126,Chris Baird,Northern Ireland,Fulham FC Fulham FC,2 (0)
,Chris Brunt,Northern Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Alexander Büttner,Netherlands,Manchester United Manchester United,2 (0)
,Gary Cahill,England,Chelsea FC Chelsea FC,2 (0)
,Steven Caulker,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Tom Cleverley,England,Manchester United Manchester United,2 (0)
,Carlton Cole,England,West Ham United West Ham United,2 (0)
,Jack Collison,Wales,West Ham United West Ham United,2 (0)
,David Luiz,Brazil,Chelsea FC Chelsea FC,2 (0)
,Steven Davis,Northern Ireland,Southampton FC Southampton FC,2 (0)
,Damien Duff,Ireland,Fulham FC Fulham FC,2 (0)
,Marc-Antoine Fortuné,France,West Bromwich Albion West Bromwich Albion,2 (0)
,Ryan Giggs,Wales,Manchester United Manchester United,2 (0)
,Junior Hoilett,Canada,Queens Park Rangers Queens Park Rangers,2 (0)
,Jonny Howson,England,Norwich City Norwich City,2 (0)
,Noel Hunt,Ireland,Reading FC Reading FC,2 (0)
,Iván Ramis,Spain,Wigan Athletic Wigan Athletic,2 (0)
,Phil Jagielka,England,Everton FC Everton FC,2 (0)
,Matthew Jarvis,England,West Ham United West Ham United,2 (0)
,Javi García,Spain,Manchester City Manchester City,2 (0)
,Jermaine Jenas,England,Queens Park Rangers Queens Park Rangers,2 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,José Enrique,Spain,Liverpool FC Liverpool FC,2 (0)
,José Fonte,Portugal,Southampton FC Southampton FC,2 (0)
,Laurent Koscielny,France,Arsenal FC Arsenal FC,2 (0)
,Matthew Lowton,England,Aston Villa Aston Villa,2 (0)
,Jamie Mackie,Scotland,Queens Park Rangers Queens Park Rangers,2 (0)
,Modibo Maïga,Mali,West Ham United West Ham United,2 (0)
,James McClean,Ireland,Sunderland AFC Sunderland AFC,2 (0)
,Callum McManaman,England,Wigan Athletic Wigan Athletic,2 (0)
,Sean Morrison,England,Reading FC Reading FC,2 (0)
,Youssuf Mulumbu,Congo DR,West Bromwich Albion West Bromwich Albion,2 (0)
,Charles N'Zogbia,France,Aston Villa Aston Villa,2 (0)
,Samir Nasri,France,Manchester City Manchester City,2 (0)
,Joey O'Brien,Ireland,West Ham United West Ham United,2 (0)
,John O'Shea,Ireland,Sunderland AFC Sunderland AFC,2 (0)
,Jack Rodwell,England,Manchester City Manchester City,2 (0)
,Tomáš Rosický,Czech Republic,Arsenal FC Arsenal FC,2 (0)
,Martin Škrtel,Slovakia,Liverpool FC Liverpool FC,2 (0)
,Raheem Sterling,England,Liverpool FC Liverpool FC,2 (0)
,Andros Townsend,England,Queens Park Rangers Queens Park Rangers,2 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Ron Vlaar,Netherlands,Aston Villa Aston Villa,2 (0)
,Pablo Zabaleta,Argentina,Manchester City Manchester City,2 (0)
168,Shola Ameobi,Nigeria,Newcastle United Newcastle United,1 (0)
,Anderson,Brazil,Manchester United Manchester United,1 (0)
,Benoît Assou-Ekotto,Cameroon,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Mario Balotelli,Italy,Manchester City Manchester City,1 (0)
,Phil Bardsley,Scotland,Sunderland AFC Sunderland AFC,1 (0)
,Gareth Barry,England,Manchester City Manchester City,1 (0)
,Jean Beausejour,Chile,Wigan Athletic Wigan Athletic,1 (0)
,Elliott Bennett,Jamaica,Norwich City Norwich City,1 (0)
,Ryan Bennett,England,Norwich City Norwich City,1 (0)
,Gaël Bigirimana,Burundi,Newcastle United Newcastle United,1 (0)
,Fabio Borini,Italy,Liverpool FC Liverpool FC,1 (0)
,Jay Bothroyd,England,Queens Park Rangers Queens Park Rangers,1 (0)
,Gary Caldwell,Scotland,Wigan Athletic Wigan Athletic,1 (0)
,Fraizer Campbell,England,Sunderland AFC Sunderland AFC,1 (0)
,Carlos Cuéllar,Spain,Sunderland AFC Sunderland AFC,1 (0)
,Michael Carrick,England,Manchester United Manchester United,1 (0)
,Ciaran Clark,Ireland,Aston Villa Aston Villa,1 (0)
,Nathaniel Clyne,England,Southampton FC Southampton FC,1 (0)
,Ashley Cole,England,Chelsea FC Chelsea FC,1 (0)
,Ben Davies,Wales,Swansea City Swansea City,1 (0)
,Michael Dawson,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Mousa Dembélé,Belgium,Fulham FC Fulham FC,1 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Graham Dorrans,Scotland,West Bromwich Albion West Bromwich Albion,1 (1)
,Karim El Ahmadi,Morocco,Aston Villa Aston Villa,1 (0)
,Urby Emanuelson,Netherlands,Fulham FC Fulham FC,1 (0)
,Roger Espinoza,Honduras,Wigan Athletic Wigan Athletic,1 (0)
,Rio Ferdinand,England,Manchester United Manchester United,1 (0)
,Maynor Figueroa,Honduras,Wigan Athletic Wigan Athletic,1 (0)
,Darren Fletcher,Scotland,Manchester United Manchester United,1 (0)
,Danny Fox,Scotland,Southampton FC Southampton FC,1 (0)
,William Gallas,France,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Darron Gibson,Ireland,Everton FC Everton FC,1 (0)
,Kaspars Gorkšs,Latvia,Reading FC Reading FC,1 (0)
,Granero,Spain,Queens Park Rangers Queens Park Rangers,1 (0)
,Danny Guthrie,England,Reading FC Reading FC,1 (0)
,Jonás Gutiérrez,Argentina,Newcastle United Newcastle United,1 (0)
,Ángelo Henríquez,Chile,Wigan Athletic Wigan Athletic,1 (0)
,Brett Holman,Australia,Aston Villa Aston Villa,1 (0)
,Robert Huth,Germany,Stoke City Stoke City,1 (0)
,Simeon Jackson,Canada,Norwich City Norwich City,1 (0)
,Bradley Johnson,England,Norwich City Norwich City,1 (0)
,Glen Johnson,England,Liverpool FC Liverpool FC,1 (0)
,Billy Jones,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Kei Kamara,Sierra Leone,Norwich City Norwich City,1 (0)
,Jem Karacan,Turkey,Reading FC Reading FC,1 (0)
,Giorgios Karagounis,Greece,Fulham FC Fulham FC,1 (0)
,Aleksandar Kolarov,Serbia,Manchester City Manchester City,1 (0)
,Vincent Kompany,Belgium,Manchester City Manchester City,1 (0)
,Sebastian Larsson,Sweden,Sunderland AFC Sunderland AFC,1 (0)
,Mikele Leigertwood,Antigua & Barbuda,Reading FC Reading FC,1 (0)
,Joleon Lescott,England,Manchester City Manchester City,1 (0)
,Adrian Mariappa,Jamaica,Reading FC Reading FC,1 (0)
,Marko Marin,Germany,Chelsea FC Chelsea FC,1 (0)
,Sylvain Marveaux,France,Newcastle United Newcastle United,1 (0)
,Steve Morison,Wales,Norwich City Norwich City,1 (0)
,Victor Moses,Nigeria,Chelsea FC Chelsea FC,1 (0)
,,,Wigan Athletic Wigan Athletic,
,Steven N'Zonzi,France,Stoke City Stoke City,1 (0)
,Nacho Monreal,Spain,Arsenal FC Arsenal FC,1 (0)
,Nani,Portugal,Manchester United Manchester United,1 (0)
,Ryan Nelsen,New Zealand,Queens Park Rangers Queens Park Rangers,1 (0)
,Gary O'Neil,England,West Ham United West Ham United,1 (0)
,Michael Owen,England,Stoke City Stoke City,1 (0)
,Alex Oxlade-Chamberlain,England,Arsenal FC Arsenal FC,1 (0)
,James Perch,England,Newcastle United Newcastle United,1 (0)
,Nick Powell,England,Manchester United Manchester United,1 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,1 (0)
,Winston Reid,New Zealand,West Ham United West Ham United,1 (0)
,Kieran Richardson,England,Fulham FC Fulham FC,1 (0)
,,,Sunderland AFC Sunderland AFC,
,Sascha Riether,Germany,Fulham FC Fulham FC,1 (0)
,John Arne Riise,Norway,Fulham FC Fulham FC,1 (0)
,Danny Rose,England,Sunderland AFC Sunderland AFC,1 (0)
,Nuri Şahin,Turkey,Liverpool FC Liverpool FC,1 (0)
,Sandro,Brazil,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Davide Santon,Italy,Newcastle United Newcastle United,1 (0)
,Paul Scholes,England,Manchester United Manchester United,1 (0)
,Ryan Shawcross,England,Stoke City Stoke City,1 (0)
,Itay Shechter,Israel,Swansea City Swansea City,1 (0)
,Scott Sinclair,England,Manchester City Manchester City,1 (0)
,,,Swansea City Swansea City,
,Matthew Taylor,England,West Ham United West Ham United,1 (0)
,Dwight Tiendalli,Netherlands,Swansea City Swansea City,1 (0)
,James Tomkins,England,West Ham United West Ham United,1 (0)
,Matthew Upson,England,Stoke City Stoke City,1 (0)
,Antonio Valencia,Ecuador,Manchester United Manchester United,1 (0)
,David Vaughan,Wales,Sunderland AFC Sunderland AFC,1 (0)
,Nemanja Vidić,Serbia,Manchester United Manchester United,1 (0)
,Ben Watson,England,Wigan Athletic Wigan Athletic,1 (0)
,Danny Welbeck,England,Manchester United Manchester United,1 (0)
,Dean Whitehead,England,Stoke City Stoke City,1 (0)
,Steven Whittaker,Scotland,Norwich City Norwich City,1 (0)
,Shaun Wright-Phillips,England,Queens Park Rangers Queens Park Rangers,1 (0)
