#,Player,Country,Team,Goals (Penalty)
,Leandro Trossard,Belgium,Brighton & Hove Albion Brighton & Hove Albion,5 (0)
,Virgil van Dijk,Netherlands,Liverpool FC Liverpool FC,5 (0)
,James Ward-Prowse,England,Southampton FC Southampton FC,5 (1)
,Wesley,Brazil,Aston Villa Aston Villa,5 (0)
,Andrey Yarmolenko,Ukraine,West Ham United West Ham United,5 (0)
65,Che Adams,England,Southampton FC Southampton FC,4 (0)
,Trent Alexander-Arnold,England,Liverpool FC Liverpool FC,4 (0)
,Miguel Almirón,Paraguay,Newcastle United Newcastle United,4 (0)
,Leander Dendoncker,Belgium,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Matt Doherty,Ireland,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Abdoulaye Doucouré,France,Watford FC Watford FC,4 (0)
,Anwar El Ghazi,Netherlands,Aston Villa Aston Villa,4 (1)
,Dwight Gayle,England,Newcastle United Newcastle United,4 (0)
,Gerard Deulofeu,Spain,Watford FC Watford FC,4 (1)
,Jordan Henderson,England,Liverpool FC Liverpool FC,4 (0)
,Jorginho,Italy,Chelsea FC Chelsea FC,4 (3)
,Lucas,Brazil,Tottenham Hotspur Tottenham Hotspur,4 (0)
,Marcos Alonso,Spain,Chelsea FC Chelsea FC,4 (0)
,Mark Noble,England,West Ham United West Ham United,4 (3)
,Divock Origi,Belgium,Liverpool FC Liverpool FC,4 (0)
,Alex Oxlade-Chamberlain,England,Liverpool FC Liverpool FC,4 (0)
,Nathan Redmond,England,Southampton FC Southampton FC,4 (0)
,Adama Traoré,Spain,Wolverhampton Wanderers Wolverhampton Wanderers,4 (0)
,Georginio Wijnaldum,Netherlands,Liverpool FC Liverpool FC,4 (0)
,Wilfried Zaha,Ivory Coast,Crystal Palace Crystal Palace,4 (0)
85,Steven Bergwijn,Netherlands,Tottenham Hotspur Tottenham Hotspur,3 (0)
,Bernard,Brazil,Everton FC Everton FC,3 (0)
,Ben Chilwell,England,Leicester City Leicester City,3 (0)
,Aaron Connolly,Ireland,Brighton & Hove Albion Brighton & Hove Albion,3 (0)
,Aaron Cresswell,England,West Ham United West Ham United,3 (0)
,Issa Diop,France,West Ham United West Ham United,3 (0)
,Douglas Luiz,Brazil,Aston Villa Aston Villa,3 (0)
,Lewis Dunk,England,Brighton & Hove Albion Brighton & Hove Albion,3 (0)
,Gabriel Martinelli,Brazil,Arsenal FC Arsenal FC,3 (0)
,Dan Gosling,England,AFC Bournemouth AFC Bournemouth,3 (0)
,Conor Hourihane,Ireland,Aston Villa Aston Villa,3 (0)
,Daniel James,Wales,Manchester United Manchester United,3 (0)
,N'Golo Kanté,France,Chelsea FC Chelsea FC,3 (0)
,John McGinn,Scotland,Aston Villa Aston Villa,3 (0)
,Scott McTominay,Scotland,Manchester United Manchester United,3 (0)
,Luka Milivojević,Serbia,Crystal Palace Crystal Palace,3 (2)
,Michael Obafemi,Ireland,Southampton FC Southampton FC,3 (0)
,Pedro Neto,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,3 (0)
,Roberto Pereyra,Argentina,Watford FC Watford FC,3 (1)
,Ricardo Pereira,Portugal,Leicester City Leicester City,3 (0)
,Rodri,Spain,Manchester City Manchester City,3 (0)
,Allan Saint-Maximin,France,Newcastle United Newcastle United,3 (0)
,Jeffrey Schlupp,Ghana,Crystal Palace Crystal Palace,3 (0)
,Billy Sharp,England,Sheffield United Sheffield United,3 (0)
,Dominic Solanke,England,AFC Bournemouth AFC Bournemouth,3 (0)
,Tomáš Souček,Czech Republic,West Ham United West Ham United,3 (0)
,Junior Stanislas,England,AFC Bournemouth AFC Bournemouth,3 (1)
,Youri Tielemans,Belgium,Leicester City Leicester City,3 (0)
,Patrick van Aanholt,Netherlands,Crystal Palace Crystal Palace,3 (1)
,Adam Webster,England,Brighton & Hove Albion Brighton & Hove Albion,3 (0)
115,Nathan Aké,Netherlands,AFC Bournemouth AFC Bournemouth,2 (0)
,Toby Alderweireld,Belgium,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Azpilicueta,Spain,Chelsea FC Chelsea FC,2 (0)
,George Baldock,England,Sheffield United Sheffield United,2 (0)
,Christian Benteke,Belgium,Crystal Palace Crystal Palace,2 (0)
,Ciaran Clark,Ireland,Newcastle United Newcastle United,2 (0)
,Patrick Cutrone,Italy,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,David Luiz,Brazil,Arsenal FC Arsenal FC,2 (0)
,Craig Dawson,England,Watford FC Watford FC,2 (0)
,Moussa Djénépo,Mali,Southampton FC Southampton FC,2 (0)
,John Egan,Ireland,Sheffield United Sheffield United,2 (0)
,Christian Eriksen,Denmark,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Fabinho,Brazil,Liverpool FC Liverpool FC,2 (0)
,Federico Fernández,Argentina,Newcastle United Newcastle United,2 (0)
,Andre Gray,England,Watford FC Watford FC,2 (0)
,Demarai Gray,England,Leicester City Leicester City,2 (0)
,Pascal Groß,Germany,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,İlkay Gündoğan,Germany,Manchester City Manchester City,2 (1)
,Jeff Hendrick,Ireland,Burnley FC Burnley FC,2 (0)
,Alireza Jahanbakhsh,Iran,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,Joelinton,Brazil,Newcastle United Newcastle United,2 (0)
,Jonny,Spain,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Moise Kean,Italy,Everton FC Everton FC,2 (0)
,Michael Keane,England,Everton FC Everton FC,2 (0)
,Naby Keïta,Guinea,Liverpool FC Liverpool FC,2 (0)
,Érik Lamela,Argentina,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Florian Lejeune,France,Newcastle United Newcastle United,2 (0)
,Shane Long,Ireland,Southampton FC Southampton FC,2 (0)
,Matthew Longstaff,England,Newcastle United Newcastle United,2 (0)
,David McGoldrick,Ireland,Sheffield United Sheffield United,2 (0)
,Dwight McNeil,England,Burnley FC Burnley FC,2 (0)
,James Milner,England,Liverpool FC Liverpool FC,2 (2)
,Yerry Mina,Colombia,Everton FC Everton FC,2 (0)
,Tyrone Mings,England,Aston Villa Aston Villa,2 (0)
,Aaron Mooy,Australia,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,Wilfred Ndidi,Nigeria,Leicester City Leicester City,2 (0)
,Tanguy NDombèlé,France,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Eddie Nketiah,England,Arsenal FC Arsenal FC,2 (0)
,Angelo Ogbonna,Italy,West Ham United West Ham United,2 (0)
,Nicolás Otamendi,Argentina,Manchester City Manchester City,2 (0)
,Pablo Fornals,Spain,West Ham United West Ham United,2 (0)
,Sokratis Papastathopoulos,Greece,Arsenal FC Arsenal FC,2 (0)
,Matt Ritchie,Scotland,Newcastle United Newcastle United,2 (0)
,Andrew Robertson,Scotland,Liverpool FC Liverpool FC,2 (0)
,Rúben Neves,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Antonio Rüdiger,Germany,Chelsea FC Chelsea FC,2 (0)
,Romain Saïss,Morocco,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Fabian Schär,Switzerland,Newcastle United Newcastle United,2 (0)
,Gylfi Sigurðsson,Iceland,Everton FC Everton FC,2 (1)
,Moussa Sissoko,France,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Enda Stevens,Ireland,Sheffield United Sheffield United,2 (0)
,James Tarkowski,England,Burnley FC Burnley FC,2 (0)
,Cenk Tosun,Turkey,Crystal Palace Crystal Palace,2 (0)
,,,Everton FC Everton FC,
,Matěj Vydra,Czech Republic,Burnley FC Burnley FC,2 (0)
,Theo Walcott,England,Everton FC Everton FC,2 (0)
,Danny Welbeck,England,Watford FC Watford FC,2 (0)
,Ashley Westwood,England,Burnley FC Burnley FC,2 (0)
,Jetro Willems,Netherlands,Newcastle United Newcastle United,2 (0)
173,Florin Andone,Romania,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Andreas Pereira,Brazil,Manchester United Manchester United,1 (0)
,Serge Aurier,Ivory Coast,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Fabián Balbuena,Paraguay,West Ham United West Ham United,1 (0)
,Ross Barkley,England,Chelsea FC Chelsea FC,1 (0)
,Michy Batshuayi,Belgium,Chelsea FC Chelsea FC,1 (0)
,Jan Bednarek,Poland,Southampton FC Southampton FC,1 (0)
,Sander Berge,Norway,Sheffield United Sheffield United,1 (0)
,Ryan Bertrand,England,Southampton FC Southampton FC,1 (0)
,Philip Billing,Denmark,AFC Bournemouth AFC Bournemouth,1 (0)
,Yves Bissouma,Mali,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Jarrod Bowen,England,West Ham United West Ham United,1 (0)
,Robbie Brady,Ireland,Burnley FC Burnley FC,1 (0)
,David Brooks,Wales,AFC Bournemouth AFC Bournemouth,1 (0)
,Emiliano Buendia,Argentina,Norwich City Norwich City,1 (0)
,Cédric Soares,Portugal,Arsenal FC Arsenal FC,1 (0)
,,,Southampton FC Southampton FC,
,Calum Chambers,England,Arsenal FC Arsenal FC,1 (0)
,Hamza Choudhury,England,Leicester City Leicester City,1 (0)
,Tom Cleverley,England,Watford FC Watford FC,1 (0)
,Steve Cook,England,AFC Bournemouth AFC Bournemouth,1 (0)
,Daniel Podence,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Tom Davies,England,Everton FC Everton FC,1 (0)
,Josip Drmić,Switzerland,Norwich City Norwich City,1 (0)
,Shane Duffy,Ireland,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Ahmed Elmohamady,Egypt,Aston Villa Aston Villa,1 (0)
,Björn Engels,Belgium,Aston Villa Aston Villa,1 (0)
,Jonny Evans,Northern Ireland,Leicester City Leicester City,1 (0)
,Felipe Anderson,Brazil,West Ham United West Ham United,1 (0)
,Ryan Fraser,Scotland,AFC Bournemouth AFC Bournemouth,1 (0)
,Jóhann Guðmundsson,Iceland,Burnley FC Burnley FC,1 (0)
,Kortney Hause,England,Aston Villa Aston Villa,1 (0)
,Isaac Hayden,England,Newcastle United Newcastle United,1 (0)
,Héctor Bellerín,Spain,Arsenal FC Arsenal FC,1 (0)
,Javier Hernández,Mexico,West Ham United West Ham United,1 (0)
,Onel Hernandez,Cuba,Norwich City Norwich City,1 (0)
,Callum Hudson-Odoi,England,Chelsea FC Chelsea FC,1 (0)
,Will Hughes,England,Watford FC Watford FC,1 (0)
,Alex Iwobi,Nigeria,Everton FC Everton FC,1 (0)
,João Moutinho,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Curtis Jones,England,Liverpool FC Liverpool FC,1 (0)
,Ezri Konsa,England,Aston Villa Aston Villa,1 (0)
,Cheikhou Kouyaté,Senegal,Crystal Palace Crystal Palace,1 (0)
,Mateo Kovačić,Croatia,Chelsea FC Chelsea FC,1 (0)
,Adam Lallana,England,Liverpool FC Liverpool FC,1 (0)
,Aymeric Laporte,France,Manchester City Manchester City,1 (0)
,Jamaal Lascelles,England,Newcastle United Newcastle United,1 (0)
,Valentino Lazaro,Austria,Newcastle United Newcastle United,1 (0)
,Jefferson Lerma,Colombia,AFC Bournemouth AFC Bournemouth,1 (0)
,Jamal Lewis,Northern Ireland,Norwich City Norwich City,1 (0)
,Victor Lindelöf,Sweden,Manchester United Manchester United,1 (0)
,Jesse Lingard,England,Manchester United Manchester United,1 (0)
,Sean Longstaff,England,Newcastle United Newcastle United,1 (0)
,Harry Maguire,England,Manchester United Manchester United,1 (0)
,Adam Masina,Italy,Watford FC Watford FC,1 (0)
,Joel Matip,Cameroon,Liverpool FC Liverpool FC,1 (0)
,Kenny McLean,Scotland,Norwich City Norwich City,1 (0)
,Ben Mee,England,Burnley FC Burnley FC,1 (0)
,Chris Mepham,Wales,AFC Bournemouth AFC Bournemouth,1 (0)
,Glenn Murray,England,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Reiss Nelson,England,Arsenal FC Arsenal FC,1 (0)
,Oliver Norwood,Northern Ireland,Sheffield United Sheffield United,1 (1)
,Mesut Özil,Germany,Arsenal FC Arsenal FC,1 (0)
,Pedro,Spain,Chelsea FC Chelsea FC,1 (0)
,Paul Pogba,France,Manchester United Manchester United,1 (0)
,Dennis Praet,Belgium,Leicester City Leicester City,1 (0)
,Davy Pröpper,Netherlands,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Declan Rice,England,West Ham United West Ham United,1 (0)
,Callum Robinson,Ireland,Sheffield United Sheffield United,1 (0)
,Bukayo Saka,England,Arsenal FC Arsenal FC,1 (0)
,Mbwana Samatta,Tanzania,Aston Villa Aston Villa,1 (0)
,Xherdan Shaqiri,Switzerland,Liverpool FC Liverpool FC,1 (0)
,Çağlar Söyüncü,Turkey,Leicester City Leicester City,1 (0)
,Dennis Srbeny,Germany,Norwich City Norwich City,1 (0)
,Jack Stephens,England,Southampton FC Southampton FC,1 (0)
,Matt Targett,England,Aston Villa Aston Villa,1 (0)
,Alexander Tettey,Norway,Norwich City Norwich City,1 (0)
,Kieran Tierney,Scotland,Arsenal FC Arsenal FC,1 (0)
,James Tomkins,England,Crystal Palace Crystal Palace,1 (0)
,Fikayo Tomori,England,Chelsea FC Chelsea FC,1 (0)
,Lucas Torreira,Uruguay,Arsenal FC Arsenal FC,1 (0)
,Andros Townsend,England,Crystal Palace Crystal Palace,1 (0)
,Jan Vertonghen,Belgium,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Jannik Vestergaard,Denmark,Southampton FC Southampton FC,1 (0)
,Mario Vrančić,Bosnia-Herzegovina,Norwich City Norwich City,1 (0)
,Kyle Walker,England,Manchester City Manchester City,1 (0)
,Connor Wickham,England,Crystal Palace Crystal Palace,1 (0)
,Brandon Williams,England,Manchester United Manchester United,1 (0)
,Joe Willock,England,Arsenal FC Arsenal FC,1 (0)
,Granit Xhaka,Switzerland,Arsenal FC Arsenal FC,1 (0)
,DeAndre Yedlin,USA,Newcastle United Newcastle United,1 (0)
