#,Player,Country,Team,Goals (Penalty)
,Marcos Alonso,Spain,Bolton Wanderers Bolton Wanderers,1 (0)
,Fabrice Muamba,England,Bolton Wanderers Bolton Wanderers,1 (0)
,Youssuf Mulumbu,Congo DR,West Bromwich Albion West Bromwich Albion,1 (0)
,Gabriel Obertan,France,Newcastle United Newcastle United,1 (0)
,Orlandi,Spain,Swansea City Swansea City,1 (0)
,Orlando Sá,Portugal,Fulham FC Fulham FC,1 (0)
,Roman Pavlyuchenko,Russia,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Darren Pratley,England,Bolton Wanderers Bolton Wanderers,1 (0)
,Steven Reid,Ireland,West Bromwich Albion West Bromwich Albion,1 (0)
,Micah Richards,England,Manchester City Manchester City,1 (0)
,Sam Ricketts,Wales,Bolton Wanderers Bolton Wanderers,1 (0)
,Liam Ridgewell,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Tomáš Rosický,Czech Republic,Arsenal FC Arsenal FC,1 (0)
,Wayne Routledge,England,Swansea City Swansea City,1 (0)
,Bacary Sagna,France,Arsenal FC Arsenal FC,1 (0)
,Stefan Savić,Montenegro,Manchester City Manchester City,1 (0)
,Philippe Senderos,Switzerland,Fulham FC Fulham FC,1 (0)
,Jonjo Shelvey,England,Liverpool FC Liverpool FC,1 (0)
,Ryan Shotton,England,Stoke City Stoke City,1 (0)
,Steven Sidwell,England,Fulham FC Fulham FC,1 (0)
,Chris Smalling,England,Manchester United Manchester United,1 (0)
,Alex Song,Cameroon,Arsenal FC Arsenal FC,1 (0)
,Grétar Steinsson,Iceland,Bolton Wanderers Bolton Wanderers,1 (0)
,Denis Stracqualursi,Argentina,Everton FC Everton FC,1 (0)
,Taye Taïwo,Nigeria,Queens Park Rangers Queens Park Rangers,1 (0)
,Somen Tchoyi,Cameroon,West Bromwich Albion West Bromwich Albion,1 (0)
,Jerome Thomas,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Matthew Upson,England,Stoke City Stoke City,1 (0)
,Simon Vukčević,Montenegro,Blackburn Rovers Blackburn Rovers,1 (0)
,Glenn Whelan,Ireland,Stoke City Stoke City,1 (0)
,Connor Wickham,England,Sunderland AFC Sunderland AFC,1 (0)
,Aaron Wilbraham,England,Norwich City Norwich City,1 (0)
,Ashley Williams,Wales,Swansea City Swansea City,1 (0)
,Pablo Zabaleta,Argentina,Manchester City Manchester City,1 (0)
,Ronald Zubar,Guadeloupe,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
