#,Player,Country,Team,Goals (Penalty)
,Jay Rodriguez,England,Southampton FC Southampton FC,5 (0)
,Wayne Rooney,England,Manchester United Manchester United,5 (1)
,Leroy Sané,Germany,Manchester City Manchester City,5 (0)
,Yaya Touré,Ivory Coast,Manchester City Manchester City,5 (2)
,Patrick van Aanholt,Netherlands,Crystal Palace Crystal Palace,5 (0)
,,,Sunderland AFC Sunderland AFC,
74,Yohan Cabaye,France,Crystal Palace Crystal Palace,4 (0)
,Séamus Coleman,Ireland,Everton FC Everton FC,4 (0)
,Charlie Daniels,England,AFC Bournemouth AFC Bournemouth,4 (0)
,David Silva,Spain,Manchester City Manchester City,4 (0)
,Craig Dawson,England,West Bromwich Albion West Bromwich Albion,4 (0)
,Marten de Roon,Netherlands,Middlesbrough FC Middlesbrough FC,4 (0)
,Manolo Gabbiadini,Italy,Southampton FC Southampton FC,4 (0)
,Abel Hernández,Uruguay,Hull City Hull City,4 (0)
,Kelechi Iheanacho,Nigeria,Manchester City Manchester City,4 (0)
,Anthony Martial,France,Manchester United Manchester United,4 (0)
,Alfie Mawson,England,Swansea City Swansea City,4 (0)
,Kevin Mirallas,Belgium,Everton FC Everton FC,4 (0)
,Henrikh Mkhitaryan,Armenia,Manchester United Manchester United,4 (0)
,Oumar Niasse,Senegal,Hull City Hull City,4 (0)
,Nolito,Spain,Manchester City Manchester City,4 (0)
,Stefano Okaka,Italy,Watford FC Watford FC,4 (0)
,Matt Phillips,Scotland,West Bromwich Albion West Bromwich Albion,4 (0)
,Xherdan Shaqiri,Switzerland,Stoke City Stoke City,4 (0)
,Cristhian Stuani,Uruguay,Middlesbrough FC Middlesbrough FC,4 (0)
,Jon Walters,Ireland,Stoke City Stoke City,4 (1)
,Victor Wanyama,Kenya,Tottenham Hotspur Tottenham Hotspur,4 (0)
,James Ward-Prowse,England,Southampton FC Southampton FC,4 (0)
96,Nathan Aké,Netherlands,AFC Bournemouth AFC Bournemouth,3 (0)
,,,Chelsea FC Chelsea FC,
,Victor Anichebe,Nigeria,Sunderland AFC Sunderland AFC,3 (0)
,Bojan,Spain,Stoke City Stoke City,3 (2)
,Chris Brunt,Northern Ireland,West Bromwich Albion West Bromwich Albion,3 (0)
,Sam Clucas,England,Hull City Hull City,3 (0)
,Scott Dann,England,Crystal Palace Crystal Palace,3 (0)
,Michael Dawson,England,Hull City Hull City,3 (0)
,Sofiane Féghouli,Algeria,West Ham United West Ham United,3 (0)
,Ryan Fraser,Scotland,AFC Bournemouth AFC Bournemouth,3 (0)
,İlkay Gündoğan,Germany,Manchester City Manchester City,3 (0)
,Alex Iwobi,Nigeria,Arsenal FC Arsenal FC,3 (0)
,Phil Jagielka,England,Everton FC Everton FC,3 (0)
,Vincent Kompany,Belgium,Manchester City Manchester City,3 (0)
,Shane Long,Ireland,Southampton FC Southampton FC,3 (0)
,Victor Moses,Nigeria,Chelsea FC Chelsea FC,3 (0)
,Mark Noble,England,West Ham United West Ham United,3 (1)
,Shinji Okazaki,Japan,Leicester City Leicester City,3 (0)
,Hal Robson-Kanu,Wales,West Bromwich Albion West Bromwich Albion,3 (0)
,Wayne Routledge,England,Swansea City Swansea City,3 (0)
,Daniel Sturridge,England,Liverpool FC Liverpool FC,3 (0)
,Dušan Tadić,Serbia,Southampton FC Southampton FC,3 (1)
,James Tomkins,England,Crystal Palace Crystal Palace,3 (0)
,Andros Townsend,England,Crystal Palace Crystal Palace,3 (0)
,Enner Valencia,Ecuador,Everton FC Everton FC,3 (0)
,,,West Ham United West Ham United,
120,Marc Albrighton,England,Leicester City Leicester City,2 (0)
,Leighton Baines,England,Everton FC Everton FC,2 (2)
,Gareth Barry,England,Everton FC Everton FC,2 (0)
,Ryan Bertrand,England,Southampton FC Southampton FC,2 (0)
,Wilfried Bony,Ivory Coast,Stoke City Stoke City,2 (0)
,Fabio Borini,Italy,Sunderland AFC Sunderland AFC,2 (0)
,George Boyd,Scotland,Burnley FC Burnley FC,2 (0)
,Calum Chambers,England,Arsenal FC Arsenal FC,2 (0)
,,,Middlesbrough FC Middlesbrough FC,
,José Cholevas,Greece,Watford FC Watford FC,2 (0)
,James Collins,Wales,West Ham United West Ham United,2 (0)
,Steve Cook,England,AFC Bournemouth AFC Bournemouth,2 (0)
,Tom Davies,England,Everton FC Everton FC,2 (0)
,Eric Dier,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Adama Diomandé,Norway,Hull City Hull City,2 (0)
,Jonny Evans,Northern Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Fernandinho,Brazil,Manchester City Manchester City,2 (0)
,Darren Fletcher,Scotland,West Bromwich Albion West Bromwich Albion,2 (0)
,Christian Fuchs,Austria,Leicester City Leicester City,2 (0)
,Dan Gosling,England,AFC Bournemouth AFC Bournemouth,2 (0)
,Jeff Hendrick,Ireland,Burnley FC Burnley FC,2 (0)
,Robert Huth,Germany,Leicester City Leicester City,2 (0)
,Daryl Janmaat,Netherlands,Watford FC Watford FC,2 (0)
,Vincent Janssen,Netherlands,Tottenham Hotspur Tottenham Hotspur,2 (1)
,Christian Kabasele,Belgium,Watford FC Watford FC,2 (0)
,Younès Kaboul,France,Sunderland AFC Sunderland AFC,2 (0)
,,,Watford FC Watford FC,
,Michael Keane,England,Burnley FC Burnley FC,2 (0)
,Laurent Koscielny,France,Arsenal FC Arsenal FC,2 (0)
,Dejan Lovren,Croatia,Liverpool FC Liverpool FC,2 (0)
,Harry Maguire,England,Hull City Hull City,2 (0)
,Lazar Marković,Serbia,Hull City Hull City,2 (0)
,Luka Milivojević,Serbia,Crystal Palace Crystal Palace,2 (2)
,Ahmed Musa,Nigeria,Leicester City Leicester City,2 (0)
,Shkodran Mustafi,Germany,Arsenal FC Arsenal FC,2 (0)
,Wilfred Ndidi,Nigeria,Leicester City Leicester City,2 (0)
,M'Baye Niang,Senegal,Watford FC Watford FC,2 (0)
,Martin Olsson,Sweden,Swansea City Swansea City,2 (0)
,Alex Oxlade-Chamberlain,England,Arsenal FC Arsenal FC,2 (0)
,Dimitri Payet,France,West Ham United West Ham United,2 (0)
,Roberto Pereyra,Argentina,Watford FC Watford FC,2 (0)
,Marc Pugh,England,AFC Bournemouth AFC Bournemouth,2 (0)
,Gastón Ramírez,Uruguay,Middlesbrough FC Middlesbrough FC,2 (0)
,Andrea Ranocchia,Italy,Hull City Hull City,2 (0)
,Winston Reid,New Zealand,West Ham United West Ham United,2 (0)
,Danny Rose,England,Tottenham Hotspur Tottenham Hotspur,2 (0)
,Santi Cazorla,Spain,Arsenal FC Arsenal FC,2 (2)
,Danny Welbeck,England,Arsenal FC Arsenal FC,2 (0)
,Connor Wickham,England,Crystal Palace Crystal Palace,2 (0)
,Granit Xhaka,Switzerland,Arsenal FC Arsenal FC,2 (0)
168,Charlie Adam,Scotland,Stoke City Stoke City,1 (1)
,Toby Alderweireld,Belgium,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Daniel Amartey,Ghana,Leicester City Leicester City,1 (0)
,Ander Herrera,Spain,Manchester United Manchester United,1 (0)
,Àngel Rangel,Spain,Swansea City Swansea City,1 (0)
,Scott Arfield,Canada,Burnley FC Burnley FC,1 (0)
,Harry Arter,Ireland,AFC Bournemouth AFC Bournemouth,1 (0)
,Jordan Ayew,Ghana,Swansea City Swansea City,1 (0)
,Azpilicueta,Spain,Chelsea FC Chelsea FC,1 (0)
,Patrick Bamford,England,Burnley FC Burnley FC,1 (0)
,,,Middlesbrough FC Middlesbrough FC,
,Joey Barton,England,Burnley FC Burnley FC,1 (0)
,Daley Blind,Netherlands,Manchester United Manchester United,1 (0)
,Yannick Bolasie,Congo DR,Crystal Palace Crystal Palace,1 (0)
,,,Everton FC Everton FC,
,Borja Bastón,Spain,Swansea City Swansea City,1 (0)
,Sofiane Boufal,Morocco,Southampton FC Southampton FC,1 (0)
,Robbie Brady,Ireland,Burnley FC Burnley FC,1 (0)
,Miguel Britos,Uruguay,Watford FC Watford FC,1 (0)
,Jonathan Calleri,Argentina,West Ham United West Ham United,1 (0)
,Dominic Calvert-Lewin,England,Everton FC Everton FC,1 (0)
,Fraizer Campbell,England,Crystal Palace Crystal Palace,1 (0)
,Tom Carroll,England,Swansea City Swansea City,1 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Ben Chilwell,England,Leicester City Leicester City,1 (0)
,Jordy Clasie,Netherlands,Southampton FC Southampton FC,1 (0)
,Gaël Clichy,France,Manchester City Manchester City,1 (0)
,Daniel Ayala,Spain,Middlesbrough FC Middlesbrough FC,1 (0)
,David Luiz,Brazil,Chelsea FC Chelsea FC,1 (0)
,Ben Davies,Wales,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Steven Defour,Belgium,Burnley FC Burnley FC,1 (0)
,Fabian Delph,England,Manchester City Manchester City,1 (0)
,Mousa Dembélé,Belgium,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Mame Diouf,Senegal,Stoke City Stoke City,1 (0)
,Abdoulaye Doucouré,France,Watford FC Watford FC,1 (0)
,Stewart Downing,England,Middlesbrough FC Middlesbrough FC,1 (0)
,Danny Drinkwater,England,Leicester City Leicester City,1 (0)
,Marouane Fellaini,Belgium,Manchester United Manchester United,1 (0)
,Rudy Gestede,Benin,Middlesbrough FC Middlesbrough FC,1 (0)
,Ben Gibson,England,Middlesbrough FC Middlesbrough FC,1 (0)
,Demarai Gray,England,Leicester City Leicester City,1 (0)
,Jóhann Guðmundsson,Iceland,Burnley FC Burnley FC,1 (0)
,Idrissa Gueye,Senegal,Everton FC Everton FC,1 (0)
,Josh Harrop,England,Manchester United Manchester United,1 (0)
,Héctor Bellerín,Spain,Arsenal FC Arsenal FC,1 (0)
,Jordan Henderson,England,Liverpool FC Liverpool FC,1 (0)
,Tom Huddlestone,England,Hull City Hull City,1 (1)
,Odion Ighalo,Nigeria,Watford FC Watford FC,1 (0)
,Billy Jones,England,Sunderland AFC Sunderland AFC,1 (0)
,N'Golo Kanté,France,Chelsea FC Chelsea FC,1 (0)
,Wahbi Khazri,Tunisia,Sunderland AFC Sunderland AFC,1 (0)
,Andy King,Wales,Leicester City Leicester City,1 (0)
,Aleksandar Kolarov,Serbia,Manchester City Manchester City,1 (0)
,Lamine Koné,Ivory Coast,Sunderland AFC Sunderland AFC,1 (0)
,Cheikhou Kouyaté,Senegal,West Ham United West Ham United,1 (0)
,Érik Lamela,Argentina,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Grant Leadbitter,England,Middlesbrough FC Middlesbrough FC,1 (0)
,Joe Ledley,Wales,Crystal Palace Crystal Palace,1 (0)
,Jesse Lingard,England,Manchester United Manchester United,1 (0)
,Jake Livermore,England,Hull City Hull City,1 (0)
,,,West Bromwich Albion West Bromwich Albion,
,Ademola Lookman,England,Everton FC Everton FC,1 (0)
,Lucas Pérez,Spain,Arsenal FC Arsenal FC,1 (0)
,Shaun Maloney,Scotland,Hull City Hull City,1 (0)
,Manquillo,Spain,Sunderland AFC Sunderland AFC,1 (0)
,Dean Marney,England,Burnley FC Burnley FC,1 (0)
,Bruno Martins Indi,Netherlands,Stoke City Stoke City,1 (0)
,Ryan Mason,England,Hull City Hull City,1 (0)
,,,Tottenham Hotspur Tottenham Hotspur,
,Nemanja Matić,Serbia,Chelsea FC Chelsea FC,1 (0)
,Joel Matip,Cameroon,Liverpool FC Liverpool FC,1 (0)
,James McCarthy,Ireland,Everton FC Everton FC,1 (0)
,James McClean,Ireland,West Bromwich Albion West Bromwich Albion,1 (0)
,Ben Mee,England,Burnley FC Burnley FC,1 (0)
,David Meyler,Ireland,Hull City Hull City,1 (0)
,Wes Morgan,Jamaica,Leicester City Leicester City,1 (0)
,Muniesa,Spain,Stoke City Stoke City,1 (0)
,Alfred N'Diaye,Senegal,Hull City Hull City,1 (0)
,Kyle Naughton,England,Swansea City Swansea City,1 (0)
,Didier Ndong,Gabon,Sunderland AFC Sunderland AFC,1 (0)
,Oriol Romeu,Spain,Southampton FC Southampton FC,1 (0)
,Nicolás Otamendi,Argentina,Manchester City Manchester City,1 (0)
,Pedro Obiang,Equatorial Guinea,West Ham United West Ham United,1 (0)
,Matthew Pennington,England,Everton FC Everton FC,1 (0)
,Sebastian Prödl,Austria,Watford FC Watford FC,1 (0)
,Aaron Ramsey,Wales,Arsenal FC Arsenal FC,1 (0)
,Andrew Robertson,Scotland,Hull City Hull City,1 (0)
,Marcos Rojo,Argentina,Manchester United Manchester United,1 (0)
,Diafra Sakho,Senegal,West Ham United West Ham United,1 (0)
,Morgan Schneiderlin,France,Everton FC Everton FC,1 (0)
,,,Manchester United Manchester United,
,Ryan Shawcross,England,Stoke City Stoke City,1 (0)
,Chris Smalling,England,Manchester United Manchester United,1 (0)
,Adam Smith,England,AFC Bournemouth AFC Bournemouth,1 (0)
,Isaac Success,Nigeria,Watford FC Watford FC,1 (0)
,John Terry,England,Chelsea FC Chelsea FC,1 (0)
,Leonardo Ulloa,Argentina,Leicester City Leicester City,1 (0)
,Antonio Valencia,Ecuador,Manchester United Manchester United,1 (0)
,Mike van der Hoorn,Netherlands,Swansea City Swansea City,1 (0)
,Virgil van Dijk,Netherlands,Southampton FC Southampton FC,1 (0)
,Stephen Ward,Ireland,Burnley FC Burnley FC,1 (0)
,Ashley Williams,Wales,Everton FC Everton FC,1 (0)
,Harry Winks,England,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Maya Yoshida,Japan,Southampton FC Southampton FC,1 (0)
,Pablo Zabaleta,Argentina,Manchester City Manchester City,1 (0)
,Juan Zúñiga,Colombia,Watford FC Watford FC,1 (0)
