#,Player,Country,Team,Goals (Penalty)
29,Pierre-Emerick Aubameyang,Gabon,Arsenal FC Arsenal FC,2 (1)
,Ross Barkley,England,Aston Villa Aston Villa,2 (0)
,,,Chelsea FC Chelsea FC,
,Harvey Barnes,England,Leicester City Leicester City,2 (0)
,Ben Chilwell,England,Chelsea FC Chelsea FC,2 (0)
,Phil Foden,England,Manchester City Manchester City,2 (0)
,Gabriel Jesus,Brazil,Manchester City Manchester City,2 (0)
,Sébastien Haller,France,West Ham United West Ham United,2 (0)
,Hélder Costa,Portugal,Leeds United Leeds United,2 (0)
,Michael Keane,England,Everton FC Everton FC,2 (0)
,Mateusz Klich,Poland,Leeds United Leeds United,2 (1)
,Ezri Konsa,England,Aston Villa Aston Villa,2 (0)
,Solly March,England,Brighton & Hove Albion Brighton & Hove Albion,2 (0)
,David McGoldrick,Ireland,Sheffield United Sheffield United,2 (0)
,Tyrone Mings,England,Aston Villa Aston Villa,2 (0)
,Aleksandar Mitrović,Serbia,Fulham FC Fulham FC,2 (1)
,Pablo Fornals,Spain,West Ham United West Ham United,2 (0)
,Pedro Neto,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,2 (0)
,Marcus Rashford,England,Manchester United Manchester United,2 (0)
,Roberto Firmino,Brazil,Liverpool FC Liverpool FC,2 (0)
,Callum Robinson,Ireland,West Bromwich Albion West Bromwich Albion,2 (0)
,Raheem Sterling,England,Manchester City Manchester City,2 (0)
,Jannik Vestergaard,Denmark,Southampton FC Southampton FC,2 (0)
,Chris Wood,New Zealand,Burnley FC Burnley FC,2 (0)
52,Ola Aina,Nigeria,Fulham FC Fulham FC,1 (0)
,Rayan Aït Nouri,France,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Nathan Aké,Netherlands,Manchester City Manchester City,1 (0)
,Stuart Armstrong,Scotland,Southampton FC Southampton FC,1 (0)
,Serge Aurier,Ivory Coast,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Jordan Ayew,Ghana,Crystal Palace Crystal Palace,1 (0)
,Fabián Balbuena,Paraguay,West Ham United West Ham United,1 (0)
,Gareth Bale,Wales,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Kyle Bartley,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Sander Berge,Norway,Sheffield United Sheffield United,1 (1)
,Bernard,Brazil,Everton FC Everton FC,1 (0)
,Yves Bissouma,Mali,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Tom Cairney,England,Fulham FC Fulham FC,1 (0)
,Timothy Castagne,Belgium,Leicester City Leicester City,1 (0)
,Edinson Cavani,Uruguay,Manchester United Manchester United,1 (0)
,Aaron Connolly,Ireland,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Stuart Dallas,Northern Ireland,Leeds United Leeds United,1 (0)
,Daniel Podence,Portugal,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Scott Dann,England,Crystal Palace Crystal Palace,1 (0)
,Kevin De Bruyne,Belgium,Manchester City Manchester City,1 (1)
,Grady Diangana,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Moussa Djénépo,Mali,Southampton FC Southampton FC,1 (0)
,Abdoulaye Doucouré,France,Everton FC Everton FC,1 (0)
,Jimmy Dunne,Ireland,Burnley FC Burnley FC,1 (0)
,Eberechi Eze,England,Crystal Palace Crystal Palace,1 (0)
,Gabriel,Brazil,Arsenal FC Arsenal FC,1 (0)
,Karlan Grant,England,West Bromwich Albion West Bromwich Albion,1 (0)
,Jack Harrison,England,Leeds United Leeds United,1 (0)
,Kai Havertz,Germany,Chelsea FC Chelsea FC,1 (0)
,Jeff Hendrick,Ireland,Newcastle United Newcastle United,1 (0)
,Conor Hourihane,Ireland,Aston Villa Aston Villa,1 (0)
,Callum Hudson-Odoi,England,Chelsea FC Chelsea FC,1 (0)
,Reece James,England,Chelsea FC Chelsea FC,1 (0)
,James Justin,England,Leicester City Leicester City,1 (0)
,Cheikhou Kouyaté,Senegal,Crystal Palace Crystal Palace,1 (0)
,Tariq Lamptey,England,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Manuel Lanzini,Argentina,West Ham United West Ham United,1 (0)
,Giovani Lo Celso,Argentina,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Ruben Loftus-Cheek,England,Chelsea FC Chelsea FC,1 (0)
,,,Fulham FC Fulham FC,
,Ademola Lookman,England,Fulham FC Fulham FC,1 (0)
,Lucas,Brazil,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Alexis Mac Allister,Argentina,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,James Maddison,England,Leicester City Leicester City,1 (0)
,Harry Maguire,England,Manchester United Manchester United,1 (0)
,Riyad Mahrez,Algeria,Manchester City Manchester City,1 (0)
,Matheus Pereira,Brazil,West Bromwich Albion West Bromwich Albion,1 (0)
,John McGinn,Scotland,Aston Villa Aston Villa,1 (0)
,Yerry Mina,Colombia,Everton FC Everton FC,1 (0)
,Mason Mount,England,Chelsea FC Chelsea FC,1 (0)
,Jacob Murphy,England,Newcastle United Newcastle United,1 (0)
,Tanguy NDombèlé,France,Tottenham Hotspur Tottenham Hotspur,1 (0)
,Eddie Nketiah,England,Arsenal FC Arsenal FC,1 (0)
,Oriol Romeu,Spain,Southampton FC Southampton FC,1 (0)
,Nicolas Pépé,Ivory Coast,Arsenal FC Arsenal FC,1 (0)
,Dennis Praet,Belgium,Leicester City Leicester City,1 (0)
,Richarlison,Brazil,Everton FC Everton FC,1 (1)
,Jaïro Riedewald,Netherlands,Crystal Palace Crystal Palace,1 (0)
,Andrew Robertson,Scotland,Liverpool FC Liverpool FC,1 (0)
,Rodrigo,Spain,Leeds United Leeds United,1 (0)
,Allan Saint-Maximin,France,Newcastle United Newcastle United,1 (0)
,Romain Saïss,Morocco,Wolverhampton Wanderers Wolverhampton Wanderers,1 (0)
,Bukayo Saka,England,Arsenal FC Arsenal FC,1 (0)
,Billy Sharp,England,Sheffield United Sheffield United,1 (1)
,Tomáš Souček,Czech Republic,West Ham United West Ham United,1 (0)
,Thiago Silva,Brazil,Chelsea FC Chelsea FC,1 (0)
,Andros Townsend,England,Crystal Palace Crystal Palace,1 (0)
,Leandro Trossard,Belgium,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Donny van de Beek,Netherlands,Manchester United Manchester United,1 (0)
,Virgil van Dijk,Netherlands,Liverpool FC Liverpool FC,1 (0)
,Theo Walcott,England,Everton FC Everton FC,1 (0)
,,,Southampton FC Southampton FC,
,Kyle Walker,England,Manchester City Manchester City,1 (0)
,Aaron Wan-Bissaka,England,Manchester United Manchester United,1 (0)
,Danny Welbeck,England,Brighton & Hove Albion Brighton & Hove Albion,1 (0)
,Ashley Westwood,England,Burnley FC Burnley FC,1 (0)
,Hakim Ziyech,Morocco,Chelsea FC Chelsea FC,1 (0)
